year,month,location,state,units,transmode,bid_low,bid_high,pricing point,bid_avg,price_cwt,spread,price_lag,price_diff,diff_pct,price_inc,None,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,D0_lag3,D1_lag3,D2_lag3,D3_lag3,D4_lag3,D0_lag4,D1_lag4,D2_lag4,D3_lag4,D4_lag4,D0,D1,D2,D3,D4
2001,9,Denver,CO,Bushel,Truck-Rail,2.08,2.16,Terminal Elevators,2.12,3.9259259259259265,0.08000000000000007,2.135,-0.015,-0.0071,-1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,9,Southeast Colorado,CO,Bushel,Truck,1.91,2.28,Country Elevators,2.0949999999999998,3.8796296296296293,0.3699999999999999,2.12,-0.025,-0.0119,-1,1254.369375,0,0,0,0,0,17.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.59125,0,0,0,0
2001,10,Denver,CO,Bushel,Truck-Rail,2.03,2.08,Terminal Elevators,2.0549999999999997,3.805555555555555,0.050000000000000266,2.12,-0.065,-0.0316,-1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,10,Southeast Colorado,CO,Bushel,Truck,1.84,2.19,Country Elevators,2.015,3.7314814814814814,0.34999999999999987,2.0949999999999998,-0.08,-0.0397,-1,1293.0675,625.59125,0,0,0,0,0,0,0,0,0,17.991,0,0,0,0,0,0,0,0,0,499.29949999999997,87.595,0,0,0
2001,11,Denver,CO,Bushel,Truck-Rail,2.02,2.12,Terminal Elevators,2.0700000000000003,3.833333333333334,0.10000000000000009,2.0549999999999997,0.015,0.0072,1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,11,Southeast Colorado,CO,Bushel,Truck,1.83,2.2,Country Elevators,2.015,3.7314814814814814,0.3700000000000001,2.015,0,0,0,370.52750000000003,499.29949999999997,87.595,0,0,0,625.59125,0,0,0,0,0,0,0,0,0,17.991,0,0,0,0,894.660625,614.7725,0,0,0
2001,12,Denver,CO,Bushel,Truck-Rail,2.11,2.14,Terminal Elevators,2.125,3.935185185185185,0.03000000000000025,2.0700000000000003,0.055,0.0259,1,155.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,12,Southeast Colorado,CO,Bushel,Truck,1.9,2.26,Country Elevators,2.08,3.851851851851852,0.3599999999999999,2.015,0.065,0.0312,1,141.210625,894.660625,614.7725,0,0,0,499.29949999999997,87.595,0,0,0,625.59125,0,0,0,0,0,0,0,0,0,1090.3374999999999,648.41,0,0,0
2002,1,Denver,CO,Bushel,Truck-Rail,2.08,2.11,Terminal Elevators,2.0949999999999998,3.8796296296296293,0.029999999999999805,2.125,-0.03,-0.0143,-1,31.131999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.52799999999999,0,0,0,0
2002,1,Southeast Colorado,CO,Bushel,Truck,1.88,2.22,Country Elevators,2.05,3.7962962962962963,0.3400000000000003,2.08,-0.03,-0.0146,-1,0,1090.3374999999999,648.41,0,0,0,894.660625,614.7725,0,0,0,499.29949999999997,87.595,0,0,0,625.59125,0,0,0,0,744.0695000000001,1135.891,0,0,0
2002,2,Denver,CO,Bushel,Truck-Rail,2.04,2.08,Terminal Elevators,2.06,3.8148148148148144,0.040000000000000036,2.0949999999999998,-0.035,-0.017,-1,0,124.52799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.66,0,0,0
2002,2,East Central Colorado,CO,Bushel,Truck,1.94,2.01,Country Elevators,1.9749999999999999,3.657407407407407,0.06999999999999984,NA,NA,NA,NA,18.7625,1398.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642.3208333333332,230.8225,0,0,0
2002,2,North Central Colorado,CO,Bushel,Truck-Rail,2.04,2.18,Country Elevators,2.1100000000000003,3.907407407407408,0.14000000000000012,NA,NA,NA,NA,0,1503.5392000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.6295,1742.7935,0,0,0
2002,2,Northeast Colorado,CO,Bushel,Truck,1.85,1.99,Country Elevators,1.92,3.5555555555555554,0.1399999999999999,NA,NA,NA,NA,5.3725,1288.356,0,0,0,0,363.70875,0,0,0,0,372.29583333333335,0,0,0,0,388.30533333333335,0,0,0,0,1226.8808333333334,315.42833333333334,0,0,0
2002,2,Southeast Colorado,CO,Bushel,Truck,2.05,2.09,Country Elevators,2.07,3.833333333333333,0.040000000000000036,2.05,0.02,0.0097,1,0,744.0695000000001,1135.891,0,0,0,1090.3374999999999,648.41,0,0,0,894.660625,614.7725,0,0,0,499.29949999999997,87.595,0,0,0,955.95625,924.00375,0,0,0
2002,3,Denver,CO,Bushel,Truck-Rail,2.06,2.08,Terminal Elevators,2.0700000000000003,3.833333333333334,0.020000000000000018,2.06,0.01,0.0048,1,0,0,155.66,0,0,0,124.52799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.66,0,0,0
2002,3,East Central Colorado,CO,Bushel,Truck,1.91,2.03,Country Elevators,1.9699999999999998,3.6481481481481475,0.11999999999999988,1.9749999999999999,-0.005,-0.0025,-1,0,1642.3208333333332,230.8225,0,0,0,1398.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619.8912500000001,244.15208333333334,27.861666666666668,0,0
2002,3,North Central Colorado,CO,Bushel,Truck-Rail,2.06,2.21,Country Elevators,2.135,3.953703703703703,0.1499999999999999,2.1100000000000003,0.025,0.0117,1,0,136.6295,1742.7935,0,0,0,1503.5392000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.4655,1685.0155,7.941,0,0
2002,3,Northeast Colorado,CO,Bushel,Truck,1.86,2.01,Country Elevators,1.935,3.5833333333333335,0.1499999999999997,1.92,0.015,0.0078,1,0,1226.8808333333334,315.42833333333334,0,0,0,1288.356,0,0,0,0,363.70875,0,0,0,0,372.29583333333335,0,0,0,0,1051.3529166666667,496.32958333333335,0,0,0
2002,3,Southeast Colorado,CO,Bushel,Truck,2.03,2.07,Country Elevators,2.05,3.7962962962962963,0.040000000000000036,2.07,-0.02,-0.0098,-1,0,955.95625,924.00375,0,0,0,744.0695000000001,1135.891,0,0,0,1090.3374999999999,648.41,0,0,0,894.660625,614.7725,0,0,0,552.631875,921.46375,405.86312499999997,0,0
2002,4,Denver,CO,Bushel,Truck-Rail,2.02,2.1,Terminal Elevators,2.06,3.8148148148148144,0.08000000000000007,2.0700000000000003,-0.01,-0.0049,-1,0,0,155.66,0,0,0,0,155.66,0,0,0,124.52799999999999,0,0,0,0,0,0,0,0,0,0,88.112,67.548,0,0
2002,4,East Central Colorado,CO,Bushel,Truck,1.84,1.97,Country Elevators,1.905,3.5277777777777777,0.1299999999999999,1.9699999999999998,-0.065,-0.0341,-1,0,1619.8912500000001,244.15208333333334,27.861666666666668,0,0,1642.3208333333332,230.8225,0,0,0,1398.876,0,0,0,0,0,0,0,0,0,0,820.0806666666666,547.6396666666667,524.184,0
2002,4,North Central Colorado,CO,Bushel,Truck-Rail,2.02,2.16,Country Elevators,2.09,3.87037037037037,0.14000000000000012,2.135,-0.045,-0.0215,-1,0,186.4655,1685.0155,7.941,0,0,136.6295,1742.7935,0,0,0,1503.5392000000002,0,0,0,0,0,0,0,0,0,0,1078.0436,789.1436,12.2364,0
2002,4,Northeast Colorado,CO,Bushel,Truck,1.8,1.95,Country Elevators,1.875,3.4722222222222223,0.1499999999999999,1.935,-0.06,-0.032,-1,0,1051.3529166666667,496.32958333333335,0,0,0,1226.8808333333334,315.42833333333334,0,0,0,1288.356,0,0,0,0,363.70875,0,0,0,0,0,928.61,550.503,68.57033333333334,0
2002,4,Southeast Colorado,CO,Bushel,Truck,1.95,2.02,Country Elevators,1.9849999999999999,3.6759259259259256,0.07000000000000006,2.05,-0.065,-0.0327,-1,0,552.631875,921.46375,405.86312499999997,0,0,955.95625,924.00375,0,0,0,744.0695000000001,1135.891,0,0,0,1090.3374999999999,648.41,0,0,0,0,130.695,1205.4055,543.8595,0
2002,5,Denver,CO,Bushel,Truck-Rail,2.12,2.17,Terminal Elevators,2.145,3.9722222222222223,0.04999999999999982,2.06,0.085,0.0396,1,0,0,88.112,67.548,0,0,0,155.66,0,0,0,0,155.66,0,0,0,124.52799999999999,0,0,0,0,0,0,55.9625,99.69749999999999,0
2002,5,East Central Colorado,CO,Bushel,Truck,1.92,2.06,Country Elevators,1.99,3.685185185185185,0.14000000000000012,1.905,0.085,0.0427,1,0,0,820.0806666666666,547.6396666666667,524.184,0,1619.8912500000001,244.15208333333334,27.861666666666668,0,0,1642.3208333333332,230.8225,0,0,0,1398.876,0,0,0,0,0,0,44.92666666666667,1846.9783333333332,0
2002,5,North Central Colorado,CO,Bushel,Truck-Rail,2.12,2.24,Country Elevators,2.18,4.037037037037037,0.1200000000000001,2.09,0.09,0.0413,1,0,0,1078.0436,789.1436,12.2364,0,186.4655,1685.0155,7.941,0,0,136.6295,1742.7935,0,0,0,1503.5392000000002,0,0,0,0,0,0,983.9285000000001,895.4965,0
2002,5,Northeast Colorado,CO,Bushel,Truck,1.88,2.04,Country Elevators,1.96,3.6296296296296298,0.16000000000000014,1.875,0.085,0.0434,1,0,0,928.61,550.503,68.57033333333334,0,1051.3529166666667,496.32958333333335,0,0,0,1226.8808333333334,315.42833333333334,0,0,0,1288.356,0,0,0,0,0,0,356.815,1190.8691666666666,0
2002,5,Southeast Colorado,CO,Bushel,Truck,2.02,2.07,Country Elevators,2.045,3.7870370370370368,0.04999999999999982,1.9849999999999999,0.06,0.0293,1,0,0,130.695,1205.4055,543.8595,0,552.631875,921.46375,405.86312499999997,0,0,955.95625,924.00375,0,0,0,744.0695000000001,1135.891,0,0,0,0,0,138.098125,1741.86125,0
2002,6,Denver,CO,Bushel,Truck-Rail,2.19,2.28,Terminal Elevators,2.235,4.138888888888888,0.08999999999999986,2.145,0.09,0.0403,1,0,0,0,55.9625,99.69749999999999,0,0,88.112,67.548,0,0,0,155.66,0,0,0,0,155.66,0,0,0,0,0,155.66,0,0
2002,6,East Central Colorado,CO,Bushel,Truck,1.98,2.14,Country Elevators,2.06,3.8148148148148144,0.16000000000000014,1.99,0.07,0.034,1,0,0,0,44.92666666666667,1846.9783333333332,0,0,820.0806666666666,547.6396666666667,524.184,0,1619.8912500000001,244.15208333333334,27.861666666666668,0,0,1642.3208333333332,230.8225,0,0,0,0,0,1018.37625,873.5291666666667,0
2002,6,North Central Colorado,CO,Bushel,Truck-Rail,2.19,2.34,Country Elevators,2.2649999999999997,4.194444444444444,0.1499999999999999,2.18,0.085,0.0375,1,0,0,0,983.9285000000001,895.4965,0,0,1078.0436,789.1436,12.2364,0,186.4655,1685.0155,7.941,0,0,136.6295,1742.7935,0,0,0,0,0,1767.751,111.673,0
2002,6,Northeast Colorado,CO,Bushel,Truck,1.95,2.13,Country Elevators,2.04,3.7777777777777777,0.17999999999999994,1.96,0.08,0.0392,1,0,0,0,356.815,1190.8691666666666,0,0,928.61,550.503,68.57033333333334,0,1051.3529166666667,496.32958333333335,0,0,0,1226.8808333333334,315.42833333333334,0,0,0,0,0,612.6104166666667,935.0725000000001,0
2002,6,Southeast Colorado,CO,Bushel,Truck,2.08,2.13,Country Elevators,2.105,3.898148148148148,0.04999999999999982,2.045,0.06,0.0285,1,0,0,0,138.098125,1741.86125,0,0,130.695,1205.4055,543.8595,0,552.631875,921.46375,405.86312499999997,0,0,955.95625,924.00375,0,0,0,0,0,174.81124999999997,1705.149375,0
2002,7,Denver,CO,Bushel,Truck-Rail,2.41,2.49,Terminal Elevators,2.45,4.537037037037037,0.08000000000000007,2.235,0.215,0.0878,1,0,0,0,155.66,0,0,0,0,55.9625,99.69749999999999,0,0,88.112,67.548,0,0,0,155.66,0,0,0,0,0,93.396,62.263999999999996,0
2002,7,East Central Colorado,CO,Bushel,Truck,2.2,2.4,Country Elevators,2.3,4.2592592592592595,0.19999999999999973,2.06,0.24,0.1043,1,0,0,0,1018.37625,873.5291666666667,0,0,0,44.92666666666667,1846.9783333333332,0,0,820.0806666666666,547.6396666666667,524.184,0,1619.8912500000001,244.15208333333334,27.861666666666668,0,0,0,0,1022.7086666666667,861.7276666666667,7.468333333333333
2002,7,North Central Colorado,CO,Bushel,Truck-Rail,2.41,2.55,Country Elevators,2.48,4.592592592592593,0.13999999999999968,2.2649999999999997,0.215,0.0867,1,0,0,0,1767.751,111.673,0,0,0,983.9285000000001,895.4965,0,0,1078.0436,789.1436,12.2364,0,186.4655,1685.0155,7.941,0,0,0,0,708.232,1133.276,37.9148
2002,7,Northeast Colorado,CO,Bushel,Truck,2.17,2.36,Country Elevators,2.2649999999999997,4.194444444444444,0.18999999999999995,2.04,0.225,0.0993,1,0,0,0,612.6104166666667,935.0725000000001,0,0,0,356.815,1190.8691666666666,0,0,928.61,550.503,68.57033333333334,0,1051.3529166666667,496.32958333333335,0,0,0,0,0,434.2033333333333,1086.873,26.606333333333335
2002,7,Southeast Colorado,CO,Bushel,Truck,2.29,2.38,Country Elevators,2.335,4.3240740740740735,0.08999999999999986,2.105,0.23,0.0985,1,0,0,0,174.81124999999997,1705.149375,0,0,0,138.098125,1741.86125,0,0,130.695,1205.4055,543.8595,0,552.631875,921.46375,405.86312499999997,0,0,0,0,163.95499999999998,1716.004,0
2002,8,Denver,CO,Bushel,Truck-Rail,2.79,2.92,Terminal Elevators,2.855,5.287037037037037,0.1299999999999999,2.45,0.405,0.1419,1,0,0,0,93.396,62.263999999999996,0,0,0,155.66,0,0,0,0,55.9625,99.69749999999999,0,0,88.112,67.548,0,0,0,0,0,155.66,0
2002,8,East Central Colorado,CO,Bushel,Truck,2.61,2.81,Country Elevators,2.71,5.018518518518519,0.20000000000000018,2.3,0.41,0.1513,1,0,0,0,1022.7086666666667,861.7276666666667,7.468333333333333,0,0,1018.37625,873.5291666666667,0,0,0,44.92666666666667,1846.9783333333332,0,0,820.0806666666666,547.6396666666667,524.184,0,0,0,0,1671.3004166666667,220.60500000000002
2002,8,North Central Colorado,CO,Bushel,Truck-Rail,2.79,2.96,Country Elevators,2.875,5.324074074074074,0.16999999999999993,2.48,0.395,0.1374,1,0,0,0,708.232,1133.276,37.9148,0,0,1767.751,111.673,0,0,0,983.9285000000001,895.4965,0,0,1078.0436,789.1436,12.2364,0,0,0,0,1848.0855000000001,31.338
2002,8,Northeast Colorado,CO,Bushel,Truck,2.52,2.75,Country Elevators,2.635,4.879629629629629,0.22999999999999998,2.2649999999999997,0.37,0.1404,1,0,0,0,434.2033333333333,1086.873,26.606333333333335,0,0,612.6104166666667,935.0725000000001,0,0,0,356.815,1190.8691666666666,0,0,928.61,550.503,68.57033333333334,0,0,0,0,1537.0133333333333,10.67
2002,8,Southeast Colorado,CO,Bushel,Truck,2.58,2.7,Country Elevators,2.64,4.888888888888889,0.1200000000000001,2.335,0.305,0.1155,1,0,0,0,163.95499999999998,1716.004,0,0,0,174.81124999999997,1705.149375,0,0,0,138.098125,1741.86125,0,0,130.695,1205.4055,543.8595,0,0,0,0,921.8599999999999,958.1
2002,9,Denver,CO,Bushel,Truck-Rail,3,3.12,Terminal Elevators,3.06,5.666666666666667,0.1200000000000001,2.855,0.205,0.067,1,0,0,0,0,155.66,0,0,0,93.396,62.263999999999996,0,0,0,155.66,0,0,0,0,55.9625,99.69749999999999,0,0,0,0,155.66,0
2002,9,East Central Colorado,CO,Bushel,Truck,2.79,2.94,Country Elevators,2.865,5.305555555555555,0.1499999999999999,2.71,0.155,0.0541,1,0,0,0,0,1671.3004166666667,220.60500000000002,0,0,1022.7086666666667,861.7276666666667,7.468333333333333,0,0,1018.37625,873.5291666666667,0,0,0,44.92666666666667,1846.9783333333332,0,0,0,921.95875,969.9475,0
2002,9,North Central Colorado,CO,Bushel,Truck-Rail,3,3.23,Country Elevators,3.115,5.768518518518519,0.22999999999999998,2.875,0.24,0.077,1,0,0,0,0,1848.0855000000001,31.338,0,0,708.232,1133.276,37.9148,0,0,1767.751,111.673,0,0,0,983.9285000000001,895.4965,0,0,0,584.692,1294.7305000000001,5e-4
2002,9,Northeast Colorado,CO,Bushel,Truck,2.78,3.01,Country Elevators,2.8949999999999996,5.36111111111111,0.22999999999999998,2.635,0.26,0.0898,1,0,0,0,0,1537.0133333333333,10.67,0,0,434.2033333333333,1086.873,26.606333333333335,0,0,612.6104166666667,935.0725000000001,0,0,0,356.815,1190.8691666666666,0,0,0,1531.4058333333332,16.278333333333332,0
2002,9,Southeast Colorado,CO,Bushel,Truck,2.76,2.91,Country Elevators,2.835,5.25,0.15000000000000036,2.64,0.195,0.0688,1,0,0,0,0,921.8599999999999,958.1,0,0,163.95499999999998,1716.004,0,0,0,174.81124999999997,1705.149375,0,0,0,138.098125,1741.86125,0,0,48.596875,759.6275,923.325625,148.40812499999998
2002,10,Denver,CO,Bushel,Truck-Rail,2.85,2.92,Terminal Elevators,2.885,5.342592592592593,0.06999999999999984,3.06,-0.175,-0.0607,-1,0,0,0,0,155.66,0,0,0,0,155.66,0,0,0,93.396,62.263999999999996,0,0,0,155.66,0,0,0,0,12.6,143.06199999999998,0
2002,10,East Central Colorado,CO,Bushel,Truck,2.71,2.84,Country Elevators,2.775,5.138888888888888,0.1299999999999999,2.865,-0.09,-0.0324,-1,0,0,0,921.95875,969.9475,0,0,0,0,1671.3004166666667,220.60500000000002,0,0,1022.7086666666667,861.7276666666667,7.468333333333333,0,0,1018.37625,873.5291666666667,0,0,0,376.3283333333333,1515.5766666666666,0
2002,10,North Central Colorado,CO,Bushel,Truck-Rail,2.85,3.05,Country Elevators,2.95,5.462962962962963,0.19999999999999973,3.115,-0.165,-0.0559,-1,0,0,0,584.692,1294.7305000000001,5e-4,0,0,0,1848.0855000000001,31.338,0,0,708.232,1133.276,37.9148,0,0,1767.751,111.673,0,0,0,1335.6028000000001,543.8196,0
2002,10,Northeast Colorado,CO,Bushel,Truck,2.57,2.84,Country Elevators,2.705,5.0092592592592595,0.27,2.8949999999999996,-0.19,-0.0702,-1,0,0,0,1531.4058333333332,16.278333333333332,0,0,0,0,1537.0133333333333,10.67,0,0,434.2033333333333,1086.873,26.606333333333335,0,0,612.6104166666667,935.0725000000001,0,0,0,1155.3856666666668,392.29833333333335,0
2002,10,Southeast Colorado,CO,Bushel,Truck,2.67,2.72,Country Elevators,2.6950000000000003,4.990740740740741,0.050000000000000266,2.835,-0.14,-0.0519,-1,0,0,48.596875,759.6275,923.325625,148.40812499999998,0,0,0,921.8599999999999,958.1,0,0,163.95499999999998,1716.004,0,0,0,174.81124999999997,1705.149375,0,0,22.195,977.177,868.099,12.4895
2002,11,Denver,CO,Bushel,Truck-Rail,2.79,2.82,Terminal Elevators,2.8049999999999997,5.194444444444444,0.029999999999999805,2.885,-0.08,-0.0285,-1,0,0,0,12.6,143.06199999999998,0,0,0,0,155.66,0,0,0,0,155.66,0,0,0,93.396,62.263999999999996,0,0,0,31.785,123.88,0
2002,11,East Central Colorado,CO,Bushel,Truck,2.64,2.79,Country Elevators,2.715,5.027777777777778,0.1499999999999999,2.775,-0.06,-0.0221,-1,0,0,0,376.3283333333333,1515.5766666666666,0,0,0,921.95875,969.9475,0,0,0,0,1671.3004166666667,220.60500000000002,0,0,1022.7086666666667,861.7276666666667,7.468333333333333,0,0,316.8383333333333,1575.06625,0
2002,11,North Central Colorado,CO,Bushel,Truck-Rail,2.78,2.91,Country Elevators,2.8449999999999998,5.268518518518518,0.13000000000000034,2.95,-0.105,-0.0369,-1,0,0,0,1335.6028000000001,543.8196,0,0,0,584.692,1294.7305000000001,5e-4,0,0,0,1848.0855000000001,31.338,0,0,708.232,1133.276,37.9148,0,0,1653.0105,226.4135,0
2002,11,Northeast Colorado,CO,Bushel,Truck,2.56,2.72,Country Elevators,2.64,4.888888888888889,0.16000000000000014,2.705,-0.065,-0.0246,-1,0,0,0,1155.3856666666668,392.29833333333335,0,0,0,1531.4058333333332,16.278333333333332,0,0,0,0,1537.0133333333333,10.67,0,0,434.2033333333333,1086.873,26.606333333333335,0,0,1455.9920833333333,91.69083333333333,0
2002,11,Southeast Colorado,CO,Bushel,Truck,2.58,2.69,Country Elevators,2.635,4.879629629629629,0.10999999999999988,2.6950000000000003,-0.06,-0.0228,-1,0,0,22.195,977.177,868.099,12.4895,0,48.596875,759.6275,923.325625,148.40812499999998,0,0,0,921.8599999999999,958.1,0,0,163.95499999999998,1716.004,0,72.93125,136.7575,781.2750000000001,882.103125,6.89375
2002,12,Denver,CO,Bushel,Truck-Rail,2.78,2.8,Terminal Elevators,2.79,5.166666666666667,0.020000000000000018,2.8049999999999997,-0.015,-0.0054,-1,0,0,0,31.785,123.88,0,0,0,12.6,143.06199999999998,0,0,0,0,155.66,0,0,0,0,155.66,0,0,0,29.96,125.702,0
2002,12,East Central Colorado,CO,Bushel,Truck,2.56,2.71,Country Elevators,2.635,4.879629629629629,0.1499999999999999,2.715,-0.08,-0.0304,-1,0,0,0,316.8383333333333,1575.06625,0,0,0,376.3283333333333,1515.5766666666666,0,0,0,921.95875,969.9475,0,0,0,0,1671.3004166666667,220.60500000000002,0,0,319.863,1572.042,0
2002,12,North Central Colorado,CO,Bushel,Truck-Rail,2.66,2.77,Country Elevators,2.715,5.027777777777778,0.10999999999999988,2.8449999999999998,-0.13,-0.0479,-1,0,0,0,1653.0105,226.4135,0,0,0,1335.6028000000001,543.8196,0,0,0,584.692,1294.7305000000001,5e-4,0,0,0,1848.0855000000001,31.338,0,0,1640.8492,238.5752,0
2002,12,Northeast Colorado,CO,Bushel,Truck,2.46,2.59,Country Elevators,2.525,4.675925925925926,0.1299999999999999,2.64,-0.115,-0.0455,-1,0,0,0,1455.9920833333333,91.69083333333333,0,0,0,1155.3856666666668,392.29833333333335,0,0,0,1531.4058333333332,16.278333333333332,0,0,0,0,1537.0133333333333,10.67,0,0,1469.365,78.31933333333333,0
2002,12,Southeast Colorado,CO,Bushel,Truck,2.49,2.54,Country Elevators,2.515,4.657407407407407,0.04999999999999982,2.635,-0.12,-0.0477,-1,0,72.93125,136.7575,781.2750000000001,882.103125,6.89375,0,22.195,977.177,868.099,12.4895,0,48.596875,759.6275,923.325625,148.40812499999998,0,0,0,921.8599999999999,958.1,84.0055,150.0925,771.1324999999999,865.8485000000001,8.882
2003,1,Denver,CO,Bushel,Truck-Rail,2.61,2.62,Terminal Elevators,2.615,4.842592592592593,0.010000000000000231,2.79,-0.175,-0.0669,-1,0,0,0,29.96,125.702,0,0,0,31.785,123.88,0,0,0,12.6,143.06199999999998,0,0,0,0,155.66,0,0,0,53.635,102.0275,0
