id,year,week,location,precip_avg,precip_min,precip_max,precip_avg_lag1,precip_min_lag1,precip_max_lag1,precip_avg_lag2,precip_min_lag2,precip_max_lag2,precip_avg_lag3,precip_min_lag3,precip_max_lag3,precip_avg_lag4,precip_min_lag4,precip_max_lag4,precip_avg_lag5,precip_min_lag5,precip_max_lag5,precip_avg_lag6,precip_min_lag6,precip_max_lag6,precip_avg_lag7,precip_min_lag7,precip_max_lag7,precip_avg_lag8,precip_min_lag8,precip_max_lag8
1041,1999,3,SE,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1999,3,SLV,0.254,0,0.508,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1999,3,SW,5.842,0,11.176,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1999,4,EC,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,4,NE,2.516,0,6,0.0635,0,0.254,0.4445,0,1.778,0.0635,0,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,4,NWMA,0.508,0,1.016,1.397,0,2.794,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,1999,4,SE,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,4,SLV,0.762,0,1.524,0.254,0,0.508,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,4,SW,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1999,5,EC,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,5,NE,0,0,0,2.516,0,6,0.0635,0,0.254,0.4445,0,1.778,0.0635,0,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,5,NWMA,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1043,1999,5,SE,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,5,SLV,0,0,0,0.762,0,1.524,0.254,0,0.508,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1999,5,SW,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1999,6,EC,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,6,NE,0.127,0,0.508,0,0,0,2.516,0,6,0.0635,0,0.254,0.4445,0,1.778,0.0635,0,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,6,NWMA,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,1999,6,SE,0,0,0,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,6,SLV,1.27,0,2.54,0,0,0,0.762,0,1.524,0.254,0,0.508,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1999,6,SW,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1999,7,EC,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1999,7,NE,0.254,0,1.016,0.127,0,0.508,0,0,0,2.516,0,6,0.0635,0,0.254,0.4445,0,1.778,0.0635,0,0.254,NA,NA,NA,NA,NA,NA
7,1999,7,NWMA,0,0,0,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1045,1999,7,SE,0,0,0,0,0,0,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0,NA,NA,NA,NA,NA,NA
7,1999,7,SLV,0,0,0,1.27,0,2.54,0,0,0,0.762,0,1.524,0.254,0,0.508,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
7,1999,7,SW,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
5,1999,8,EC,0,0,0,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1999,8,NE,0,0,0,0.254,0,1.016,0.127,0,0.508,0,0,0,2.516,0,6,0.0635,0,0.254,0.4445,0,1.778,0.0635,0,0.254,NA,NA,NA
8,1999,8,NWMA,0,0,0,0,0,0,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794,0,0,0,0,0,0,NA,NA,NA
1046,1999,8,SE,0,0,0,0,0,0,0,0,0,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0,NA,NA,NA
8,1999,8,SLV,0,0,0,0,0,0,1.27,0,2.54,0,0,0,0.762,0,1.524,0.254,0,0.508,0,0,0,0,0,0,NA,NA,NA
8,1999,8,SW,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0,0,0,0,NA,NA,NA
6,1999,9,EC,0,0,0,0,0,0,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1999,9,NE,1.8375,0,6.35,0,0,0,0.254,0,1.016,0.127,0,0.508,0,0,0,2.516,0,6,0.0635,0,0.254,0.4445,0,1.778,0.0635,0,0.254
9,1999,9,NWMA,0,0,0,0,0,0,0,0,0,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794,0,0,0,0,0,0
1047,1999,9,SE,0,0,0,0,0,0,0,0,0,0,0,0,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508,0,0,0
9,1999,9,SLV,0,0,0,0,0,0,0,0,0,1.27,0,2.54,0,0,0,0.762,0,1.524,0.254,0,0.508,0,0,0,0,0,0
9,1999,9,SW,0,0,0,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0,0,0,0
7,1999,10,EC,1.905,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA,NA,NA,NA
795,1999,10,NE,2.278,0,6.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1999,10,NWMA,0.508,0,1.016,0,0,0,0,0,0,0,0,0,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794,0,0,0
1048,1999,10,SE,1.524,0,4.572,0,0,0,0,0,0,0,0,0,0,0,0,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254,0.16933333333333334,0,0.508
10,1999,10,SLV,0.254,0,0.508,0,0,0,0,0,0,0,0,0,1.27,0,2.54,0,0,0,0.762,0,1.524,0.254,0,0.508,0,0,0
10,1999,10,SW,0.762,0,1.27,0,0,0,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176,0,0,0
8,1999,11,EC,1.778,0,3.556,1.905,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0,NA,NA,NA
796,1999,11,NE,3.024,0,6,2.278,0,6.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1999,11,NWMA,0,0,0,0.508,0,1.016,0,0,0,0,0,0,0,0,0,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016,1.397,0,2.794
1049,1999,11,SE,3.81,0,6.858,1.524,0,4.572,0,0,0,0,0,0,0,0,0,0,0,0,6.094666666666667,0,13.712,0,0,0,0.08466666666666667,0,0.254
11,1999,11,SLV,0,0,0,0.254,0,0.508,0,0,0,0,0,0,0,0,0,1.27,0,2.54,0,0,0,0.762,0,1.524,0.254,0,0.508
11,1999,11,SW,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778,5.842,0,11.176
9,1999,12,EC,0,0,0,1.778,0,3.556,1.905,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999,0,0,0
797,1999,12,NE,0.0635,0,0.254,3.024,0,6,2.278,0,6.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1999,12,NWMA,0,0,0,0,0,0,0.508,0,1.016,0,0,0,0,0,0,0,0,0,4.191,0,8.382,0.254,0,0.508,0.508,0,1.016
1050,1999,12,SE,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572,0,0,0,0,0,0,0,0,0,0,0,0,6.094666666666667,0,13.712,0,0,0
12,1999,12,SLV,0.508,0,1.016,0,0,0,0.254,0,0.508,0,0,0,0,0,0,0,0,0,1.27,0,2.54,0,0,0,0.762,0,1.524
12,1999,12,SW,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604,0.5926666666666667,0,1.778
10,1999,13,EC,0,0,0,0,0,0,1.778,0,3.556,1.905,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,3.3019999999999996,0,6.603999999999999
798,1999,13,NE,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6,2.278,0,6.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1999,13,NWMA,0.508,0,1.016,0,0,0,0,0,0,0.508,0,1.016,0,0,0,0,0,0,0,0,0,4.191,0,8.382,0.254,0,0.508
1051,1999,13,SE,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572,0,0,0,0,0,0,0,0,0,0,0,0,6.094666666666667,0,13.712
13,1999,13,SLV,0,0,0,0.508,0,1.016,0,0,0,0.254,0,0.508,0,0,0,0,0,0,0,0,0,1.27,0,2.54,0,0,0
13,1999,13,SW,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005,2.2013333333333334,0,6.604
11,1999,14,EC,1.778,0,3.556,0,0,0,0,0,0,1.778,0,3.556,1.905,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0
799,1999,14,NE,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6,2.278,0,6.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1999,14,NWMA,4.318,0,8.636,0.508,0,1.016,0,0,0,0,0,0,0.508,0,1.016,0,0,0,0,0,0,0,0,0,4.191,0,8.382
1052,1999,14,SE,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572,0,0,0,0,0,0,0,0,0,0,0,0
14,1999,14,SLV,3.175,2.54,3.81,0,0,0,0.508,0,1.016,0,0,0,0.254,0,0.508,0,0,0,0,0,0,0,0,0,1.27,0,2.54
14,1999,14,SW,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0,0,0,0,0,0,0,3.4713333333333334,0,6.8580000000000005
12,1999,15,EC,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0,0,0,0,1.778,0,3.556,1.905,0,3.81,0,0,0,0,0,0,0,0,0
800,1999,15,NE,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6,2.278,0,6.604,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1999,15,NWMA,0,0,0,4.318,0,8.636,0.508,0,1.016,0,0,0,0,0,0,0.508,0,1.016,0,0,0,0,0,0,0,0,0
1053,1999,15,SE,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572,0,0,0,0,0,0,0,0,0
15,1999,15,SLV,3.81,0,7.62,3.175,2.54,3.81,0,0,0,0.508,0,1.016,0,0,0,0.254,0,0.508,0,0,0,0,0,0,0,0,0
15,1999,15,SW,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0,0,0,0,0,0,0
13,1999,16,EC,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0,0,0,0,1.778,0,3.556,1.905,0,3.81,0,0,0,0,0,0
801,1999,16,NE,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6,2.278,0,6.604,NA,NA,NA,NA,NA,NA
16,1999,16,NWMA,2.032,0,4.064,0,0,0,4.318,0,8.636,0.508,0,1.016,0,0,0,0,0,0,0.508,0,1.016,0,0,0,0,0,0
1054,1999,16,SE,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572,0,0,0,0,0,0
16,1999,16,SLV,1.778,0.508,3.048,3.81,0,7.62,3.175,2.54,3.81,0,0,0,0.508,0,1.016,0,0,0,0.254,0,0.508,0,0,0,0,0,0
16,1999,16,SW,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0,0,0,0
14,1999,17,EC,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0,0,0,0,1.778,0,3.556,1.905,0,3.81,0,0,0
802,1999,17,NE,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6,2.278,0,6.604,NA,NA,NA
17,1999,17,NWMA,9.652,0,19.304,2.032,0,4.064,0,0,0,4.318,0,8.636,0.508,0,1.016,0,0,0,0,0,0,0.508,0,1.016,0,0,0
1055,1999,17,SE,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572,0,0,0
17,1999,17,SLV,1.143,0.762,1.524,1.778,0.508,3.048,3.81,0,7.62,3.175,2.54,3.81,0,0,0,0.508,0,1.016,0,0,0,0.254,0,0.508,0,0,0
17,1999,17,SW,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27,0,0,0
15,1999,18,EC,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0,0,0,0,1.778,0,3.556,1.905,0,3.81
803,1999,18,NE,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6,2.278,0,6.604
18,1999,18,NWMA,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064,0,0,0,4.318,0,8.636,0.508,0,1.016,0,0,0,0,0,0,0.508,0,1.016
1056,1999,18,SE,46.14266666666667,0,76.958,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858,1.524,0,4.572
18,1999,18,SLV,42.164,40.382,43.946,1.143,0.762,1.524,1.778,0.508,3.048,3.81,0,7.62,3.175,2.54,3.81,0,0,0,0.508,0,1.016,0,0,0,0.254,0,0.508
18,1999,18,SW,29.044,23.622,38.870000000000005,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064,0.762,0,1.27
16,1999,19,EC,3.685,0,7.37,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0,0,0,0,1.778,0,3.556
804,1999,19,NE,3.274,0,7,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254,3.024,0,6
19,1999,19,NWMA,0.635,0,1.27,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064,0,0,0,4.318,0,8.636,0.508,0,1.016,0,0,0,0,0,0
1057,1999,19,SE,1.016,0,2.54,46.14266666666667,0,76.958,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89,3.81,0,6.858
19,1999,19,SLV,0,0,0,42.164,40.382,43.946,1.143,0.762,1.524,1.778,0.508,3.048,3.81,0,7.62,3.175,2.54,3.81,0,0,0,0.508,0,1.016,0,0,0
19,1999,19,SW,0,0,0,29.044,23.622,38.870000000000005,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0,1.9473333333333334,0,4.064
17,1999,20,EC,3.302,0,6.604,3.685,0,7.37,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0,0,0,0
805,1999,20,NE,11.1445,0,24,3.274,0,7,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254,0.0635,0,0.254
20,1999,20,NWMA,0.381,0,0.762,0.635,0,1.27,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064,0,0,0,4.318,0,8.636,0.508,0,1.016,0,0,0
1058,1999,20,SE,0.9313333333333333,0,2.54,1.016,0,2.54,46.14266666666667,0,76.958,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0,13.884666666666666,0,24.89
656,1999,20,SLV,0,0,0,3.048,3.048,3.048,0,0,0,10.029,9.902000000000001,10.156,0,0,0,8.635,3.81,13.46,3.556,1.27,5.8420000000000005,1.778,1.016,2.54,1.524,0.762,2.286
20,1999,20,SW,0,0,0,0,0,0,29.044,23.622,38.870000000000005,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048,0,0,0
18,1999,21,EC,4.19,0,8.38,3.302,0,6.604,3.685,0,7.37,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556,0,0,0
806,1999,21,NE,2.766,0,7,11.1445,0,24,3.274,0,7,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594,0.0635,0,0.254
21,1999,21,NWMA,2.286,0,4.572,0.381,0,0.762,0.635,0,1.27,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064,0,0,0,4.318,0,8.636,0.508,0,1.016
1059,1999,21,SE,4.233333333333333,0,6.858,0.9313333333333333,0,2.54,1.016,0,2.54,46.14266666666667,0,76.958,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768,0,0,0
657,1999,21,SLV,0.127,0,0.254,0,0,0,3.048,3.048,3.048,0,0,0,10.029,9.902000000000001,10.156,0,0,0,8.635,3.81,13.46,3.556,1.27,5.8420000000000005,1.778,1.016,2.54
21,1999,21,SW,8.466666666666667,4.064,16.51,0,0,0,0,0,0,29.044,23.622,38.870000000000005,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414,2.7093333333333334,2.286,3.048
19,1999,22,EC,8.254,0,16.508,4.19,0,8.38,3.302,0,6.604,3.685,0,7.37,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002,1.778,0,3.556
807,1999,22,NE,11.7345,0,39.112,2.766,0,7,11.1445,0,24,3.274,0,7,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9,8.1805,0,21.594
22,1999,22,NWMA,0.254,0,0.508,2.286,0,4.572,0.381,0,0.762,0.635,0,1.27,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064,0,0,0,4.318,0,8.636
1060,1999,22,SE,0.762,0,2.286,4.233333333333333,0,6.858,0.9313333333333333,0,2.54,1.016,0,2.54,46.14266666666667,0,76.958,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112,8.892666666666667,0,16.768
658,1999,22,SLV,0,0,0,0.127,0,0.254,0,0,0,3.048,3.048,3.048,0,0,0,10.029,9.902000000000001,10.156,0,0,0,8.635,3.81,13.46,3.556,1.27,5.8420000000000005
22,1999,22,SW,2.032,0.508,4.8260000000000005,8.466666666666667,4.064,16.51,0,0,0,0,0,0,29.044,23.622,38.870000000000005,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27,9.312666666666667,7.112,10.414
20,1999,23,EC,24.765,0,49.53,8.254,0,16.508,4.19,0,8.38,3.302,0,6.604,3.685,0,7.37,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26,11.812000000000001,0,23.624000000000002
808,1999,23,NE,10.735000000000001,0,26.67,11.7345,0,39.112,2.766,0,7,11.1445,0,24,3.274,0,7,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83,5.234500000000001,0,9
23,1999,23,NWMA,1.016,0,2.032,0.254,0,0.508,2.286,0,4.572,0.381,0,0.762,0.635,0,1.27,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064,0,0,0
1061,1999,23,SE,1.1006666666666667,0,3.302,0.762,0,2.286,4.233333333333333,0,6.858,0.9313333333333333,0,2.54,1.016,0,2.54,46.14266666666667,0,76.958,22.269333333333332,0,34.8,7.957333333333334,0,17.014,13.291333333333334,0,39.112
659,1999,23,SLV,0,0,0,0,0,0,0.127,0,0.254,0,0,0,3.048,3.048,3.048,0,0,0,10.029,9.902000000000001,10.156,0,0,0,8.635,3.81,13.46
23,1999,23,SW,7.8726666666666665,5.588,10.92,2.032,0.508,4.8260000000000005,8.466666666666667,4.064,16.51,0,0,0,0,0,0,29.044,23.622,38.870000000000005,14.984666666666666,10.918,18.546,14.308666666666667,10.922,20.83,0.42333333333333334,0,1.27
21,1999,24,EC,2.286,0,4.572,24.765,0,49.53,8.254,0,16.508,4.19,0,8.38,3.302,0,6.604,3.685,0,7.37,15.366999999999999,0,30.733999999999998,9.396,0,18.792,8.13,0,16.26
809,1999,24,NE,10.7995,0,22.102,10.735000000000001,0,26.67,11.7345,0,39.112,2.766,0,7,11.1445,0,24,3.274,0,7,39.57,0,64.02,31.4705,0,55.118,12.0375,0,20.83
24,1999,24,NWMA,3.302,0,6.604,1.016,0,2.032,0.254,0,0.508,2.286,0,4.572,0.381,0,0.762,0.635,0,1.27,5.334,0,10.668,9.652,0,19.304,2.032,0,4.064
